
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Analysis,STARLINK-3349 - STARLINK-2062,
       Rise,         Set, Duration (s),
       0.000,    3846.519,    3846.519,
   14133.886,   18158.190,    4024.303,
   28462.095,   35337.284,    6875.189,
   42780.453,   43931.433,    1150.980,
   57109.584,   58241.753,    1132.169,
   71428.768,   72561.404,    1132.637,
   85758.839,   86400.000,     641.161,
Is_True,          21.7627%,
Analysis,STARLINK-3349 - STARLINK-1411,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3856,
       Rise,         Set, Duration (s),
    3369.146,    4189.694,     820.548,
   11460.164,   21338.653,    9878.490,
   28372.802,   29523.705,    1150.903,
Is_True,          13.7152%,
Analysis,STARLINK-3349 - STARLINK-2180,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2505,
       Rise,         Set, Duration (s),
    7162.853,   11011.362,    3848.509,
   21479.528,   25322.596,    3843.068,
   35803.873,   39640.583,    3836.710,
   50120.982,   51092.058,     971.076,
   64445.821,   65402.747,     956.925,
   78763.371,   79720.200,     956.830,
Is_True,          16.6819%,
Analysis,STARLINK-3349 - STARLINK-2123,
       Rise,         Set, Duration (s),
    2977.134,    3737.288,     760.153,
   17312.037,   18040.620,     728.583,
   28776.139,   29487.305,     711.166,
   43101.103,   43801.102,     699.999,
   57437.938,   58102.488,     664.550,
   71763.715,   72415.501,     651.787,
   86102.267,   86400.000,     297.733,
Is_True,           5.2245%,
Analysis,STARLINK-3349 - STARLINK-3189,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2740,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2081,
       Rise,         Set, Duration (s),
       0.000,    3861.067,    3861.067,
   14027.216,   21046.622,    7019.406,
   28352.461,   35361.375,    7008.914,
   42664.453,   49687.475,    7023.022,
   56990.774,   58273.346,    1282.573,
   71303.844,   72598.596,    1294.752,
   79902.982,   86400.000,    6497.018,
Is_True,          39.3365%,
Analysis,STARLINK-3349 - STARLINK-3204,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1197,
       Rise,         Set, Duration (s),
       0.000,    3616.399,    3616.399,
   14119.172,   15068.144,     948.972,
   28447.506,   29378.155,     930.649,
   42767.501,   43696.710,     929.209,
   57096.523,   58006.026,     909.503,
   71417.010,   72324.120,     907.110,
   85746.749,   86400.000,     653.251,
Is_True,          10.2952%,
Analysis,STARLINK-3349 - STARLINK-1688,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3830,
       Rise,         Set, Duration (s),
   64055.597,   65039.058,     983.460,
   74914.055,   82079.151,    7165.096,
   83379.516,   86400.000,    3020.484,
Is_True,          12.9271%,
Analysis,STARLINK-3349 - STARLINK-1263,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3400,
       Rise,         Set, Duration (s),
    6890.532,    7682.288,     791.756,
   21192.405,   21985.621,     793.217,
   35502.377,   36280.264,     777.886,
   49804.353,   50583.740,     779.387,
   64114.591,   64878.340,     763.749,
   75559.578,   76317.601,     758.023,
Is_True,           5.3982%,
Analysis,STARLINK-3349 - STARLINK-3364,
       Rise,         Set, Duration (s),
    6990.700,    7335.893,     345.193,
   21291.196,   21651.064,     359.868,
Is_True,           0.8160%,
Analysis,STARLINK-3349 - STARLINK-2610,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2629,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3709,
       Rise,         Set, Duration (s),
   25967.376,   35702.758,    9735.382,
   42649.692,   43970.174,    1320.482,
Is_True,          12.7961%,
Analysis,STARLINK-3349 - STARLINK-1185,
       Rise,         Set, Duration (s),
   17996.475,   18327.894,     331.419,
   32247.037,   32716.402,     469.365,
   46542.604,   47060.067,     517.463,
   60813.276,   61428.409,     615.133,
   75114.845,   75766.108,     651.263,
Is_True,           2.9915%,
Analysis,STARLINK-3349 - STARLINK-1551,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1046,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1068,
       Rise,         Set, Duration (s),
