
SOAP Analysis Report Output for starlink_starlink_20_sats_32.orb,
Generated: Thu Dec 15 21:12:19 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
   67759.441,   68662.373,     902.932,
   82085.672,   82998.550,     912.878,
Is_True,           6.3002%,
Analysis,STARLINK-2592 - STARLINK-1088,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2592 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1570.697,    1570.697,
    5696.570,   13704.261,    8007.691,
   15757.245,   25182.518,    9425.273,
   27224.211,   30918.964,    3694.753,
   32956.766,   42406.270,    9449.505,
   50157.128,   53910.371,    3753.244,
   55890.915,   59658.479,    3767.564,
   61624.256,   71137.061,    9512.805,
   73089.044,   82622.067,    9533.023,
   84552.282,   86400.000,    1847.718,
Is_True,          70.0952%,
Analysis,STARLINK-2592 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    2195.267,    2195.267,
    4271.479,   13672.110,    9400.631,
   15732.391,   25168.019,    9435.628,
   27208.826,   30922.467,    3713.641,
   32954.440,   42401.262,    9446.822,
   44413.809,   53875.514,    9461.705,
   55866.141,   59622.105,    3755.964,
   61598.586,   71130.322,    9531.736,
   73076.830,   82631.840,    9555.010,
   84549.787,   86400.000,    1850.213,
Is_True,          79.1049%,
Analysis,STARLINK-2592 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    2196.359,    2196.359,
    4271.181,   13702.192,    9431.011,
   15761.519,   25162.158,    9400.639,
   27205.881,   30900.306,    3694.426,
   32934.422,   42392.468,    9458.046,
   44403.266,   53903.038,    9499.772,
   55891.060,   59651.420,    3760.360,
   61624.311,   71113.739,    9489.428,
   73066.305,   82607.950,    9541.645,
   84526.812,   86400.000,    1873.188,
Is_True,          79.1029%,
Analysis,STARLINK-2592 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    2222.190,    2222.190,
    4302.148,   13710.269,    9408.121,
   15777.152,   25188.485,    9411.333,
   27236.505,   30925.142,    3688.637,
   38687.469,   42420.887,    3733.418,
   44435.480,   53916.956,    9481.476,
   55914.818,   59660.108,    3745.290,
   61647.549,   71141.229,    9493.679,
   73099.001,   82637.497,    9538.496,
   84556.215,   86400.000,    1843.785,
Is_True,          72.4148%,
Analysis,STARLINK-2592 - IOAG-South2,
       Rise,         Set, Duration (s),
       0.000,    2220.407,    2220.407,
    4300.731,   13173.590,    8872.859,
   15750.342,   25194.040,    9443.698,
   27241.144,   30939.672,    3698.528,
   32979.515,   42422.857,    9443.342,
   44443.818,   53899.648,    9455.830,
   55889.575,   59646.364,    3756.790,
   61623.286,   71154.636,    9531.350,
   73111.430,   82644.942,    9533.512,
   84578.231,   86400.000,    1821.769,
Is_True,          78.4469%,
Analysis,STARLINK-2562 - STARLINK-1954,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-1016,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-1773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2706,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2568,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-3698,
       Rise,         Set, Duration (s),
   67834.744,   86400.000,   18565.256,
Is_True,          21.4876%,
Analysis,STARLINK-2562 - STARLINK-3566,
       Rise,         Set, Duration (s),
   60623.946,   61599.017,     975.070,
   68739.877,   78735.371,    9995.494,
   85743.644,   86400.000,     656.356,
Is_True,          13.4571%,
Analysis,STARLINK-2562 - STARLINK-2683,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2654,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-3153,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2571,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-3177,
       Rise,         Set, Duration (s),
       0.000,      75.453,      75.453,
   10727.231,   11518.990,     791.759,
   25060.299,   25819.857,     759.558,
   39388.106,   40125.328,     737.222,
   53723.298,   54424.209,     700.910,
   68053.160,   68727.704,     674.544,
   82390.869,   83024.202,     633.333,
Is_True,           5.0611%,
Analysis,STARLINK-2562 - STARLINK-1329,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2755,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-2615,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - STARLINK-1088,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2562 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,     276.597,     276.597,
    7969.773,   17539.242,    9569.469,
   19490.510,   23281.159,    3790.650,
   25234.949,   34762.871,    9527.922,
   36729.532,   45443.000,    8713.468,
   49606.817,   52019.969,    2413.152,
