
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
   50669.586,   60530.057,    9860.471,
   67681.977,   68735.691,    1053.715,
Is_True,          34.0970%,
Analysis,STARLINK-3255 - STARLINK-3397,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3255 - STARLINK-1849,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3255 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    1529.577,   10441.288,    8911.711,
   23711.526,   27067.527,    3356.000,
   29254.643,   38147.110,    8892.467,
   40335.537,   49228.123,    8892.586,
   51418.925,   54770.901,    3351.977,
   62508.087,   71401.287,    8893.200,
   73594.378,   82482.229,    8887.851,
   84674.671,   86400.000,    1725.329,
Is_True,          61.2397%,
Analysis,STARLINK-3255 - IOAG-North1,
       Rise,         Set, Duration (s),
    1537.855,   10435.559,    8897.704,
   12611.412,   15970.074,    3358.662,
   23691.440,   27047.655,    3356.214,
   29235.084,   38138.535,    8903.451,
   40332.532,   49230.421,    8897.889,
   51417.572,   60300.021,    8882.449,
   62491.041,   71381.290,    8890.249,
   73575.031,   82476.342,    8901.311,
   84673.432,   86400.000,    1726.568,
Is_True,          71.5446%,
Analysis,STARLINK-3255 - IOAG-North2,
       Rise,         Set, Duration (s),
    1518.034,   10426.008,    8907.974,
   12608.707,   15972.597,    3363.890,
   23712.200,   27066.210,    3354.010,
   29247.468,   38134.150,    8886.682,
   40321.660,   49213.503,    8891.843,
   51405.982,   60306.348,    8900.366,
   62503.774,   71396.571,    8892.798,
   73585.823,   82467.960,    8882.137,
   84658.717,   86400.000,    1741.283,
Is_True,          71.5521%,
Analysis,STARLINK-3255 - IOAG-South1,
       Rise,         Set, Duration (s),
    1530.478,   10447.132,    8916.653,
   12626.280,   15995.111,    3368.831,
   23723.093,   27083.442,    3360.349,
   29267.620,   38159.181,    8891.561,
   40344.463,   49228.227,    8883.764,
   51422.404,   60326.049,    8903.645,
   62520.050,   71415.302,    8895.252,
   73607.988,   82492.152,    8884.164,
   84680.079,   86400.000,    1719.921,
Is_True,          71.5557%,
Analysis,STARLINK-3255 - IOAG-South2,
       Rise,         Set, Duration (s),
    1548.622,   10460.019,    8911.396,
