
SOAP Analysis Report Output for starlink_80_sats_35.orb,
Generated: Fri Dec 16 10:12:55 2022,
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1544,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2385,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1690,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1083,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3179,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3226,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1491,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1581,
       Rise,         Set, Duration (s),
   75540.816,   75850.798,     309.982,
Is_True,           0.3588%,
Analysis,STARLINK-3266 - STARLINK-3694,
       Rise,         Set, Duration (s),
   75125.432,   75757.217,     631.786,
   86202.198,   86400.000,     197.802,
Is_True,           0.9602%,
Analysis,STARLINK-3266 - STARLINK-1698,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1017,
       Rise,         Set, Duration (s),
    3946.815,   14335.446,   10388.631,
   18182.273,   28700.191,   10517.918,
   32457.810,   43092.571,   10634.761,
   43860.777,   57464.926,   13604.150,
   58090.552,   71866.361,   13775.809,
   72353.861,   86272.849,   13918.988,
Is_True,          84.3059%,
Analysis,STARLINK-3266 - STARLINK-1351,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3396,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1016,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1100,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1131,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3654,
       Rise,         Set, Duration (s),
   31815.228,   32533.332,     718.104,
   43109.450,   43232.418,     122.968,
Is_True,           0.9735%,
Analysis,STARLINK-3266 - STARLINK-2243,
       Rise,         Set, Duration (s),
       0.000,    6670.301,    6670.301,
    7369.339,   21004.861,   13635.522,
   21688.372,   46779.867,   25091.495,
   47429.195,   61105.108,   13675.913,
   61757.846,   75413.542,   13655.696,
   76059.676,   86400.000,   10340.324,
Is_True,          96.1450%,
Analysis,STARLINK-3266 - STARLINK-2661,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3266 - STARLINK-1541,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2605,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2102,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2381,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1068,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3095,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2040,
       Rise,         Set, Duration (s),
    6476.800,    7321.560,     844.760,
   17933.820,   21632.396,    3698.576,
   32254.969,   33080.634,     825.666,
   46577.413,   47390.511,     813.098,
   60899.367,   61700.380,     801.014,
   75222.514,   76009.730,     787.216,
Is_True,           8.9934%,
Analysis,STARLINK-3266 - STARLINK-1624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3822,
       Rise,         Set, Duration (s),
    6910.193,    7625.152,     714.959,
   78747.160,   79587.662,     840.502,
Is_True,           1.8003%,
Analysis,STARLINK-3266 - STARLINK-1207,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2060,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3529,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1034,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3686,
       Rise,         Set, Duration (s),
    6994.730,    7873.953,     879.223,
   79001.428,   79635.355,     633.927,
Is_True,           1.7513%,
Analysis,STARLINK-3266 - STARLINK-1549,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1161,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3266 - STARLINK-1296,
       Rise,         Set, Duration (s),
    6974.874,   11068.773,    4093.899,
   21296.749,   25391.106,    4094.357,
   35606.505,   42569.756,    6963.251,
   49930.017,   56878.462,    6948.445,
   64241.396,   65472.964,    1231.568,
   78566.542,   79780.453,    1213.911,
Is_True,          28.4091%,
Analysis,STARLINK-3266 - STARLINK-2560,
       Rise,         Set, Duration (s),
       0.000,    6518.191,    6518.191,
   13875.646,   15113.799,    1238.153,
   28198.318,   29423.888,    1225.569,
   42508.714,   43744.735,    1236.021,
   51105.871,   58053.297,    6947.427,
   65417.516,   72372.701,    6955.184,
   82600.474,   86400.000,    3799.526,
Is_True,          32.3149%,
Analysis,STARLINK-3266 - STARLINK-1636,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2114,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2252,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3513,
       Rise,         Set, Duration (s),
       0.000,    6376.699,    6376.699,
    7874.244,   14519.968,    6645.723,
Is_True,          15.0722%,
Analysis,STARLINK-3266 - STARLINK-3116,
       Rise,         Set, Duration (s),
   53957.670,   54270.837,     313.167,
   68266.321,   68687.004,     420.684,
   82575.282,   83103.538,     528.256,
Is_True,           1.4608%,
Analysis,STARLINK-3266 - STARLINK-2178,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-3261,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3266 - STARLINK-1763,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2099,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1693,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-2411,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1560,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1071,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3266 - STARLINK-1216,
       Rise,         Set, Duration (s),
    6656.661,    7340.684,     684.023,
   20982.367,   21646.498,     664.131,
   46770.446,   47396.343,     625.897,
   61097.869,   61700.620,     602.751,
   75425.939,   76005.090,     579.151,
Is_True,           3.6527%,
Analysis,STARLINK-3266 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    7234.493,   16900.468,    9665.975,
   18738.800,   28355.434,    9616.634,
   30201.795,   45494.227,   15292.432,
   49545.576,   57049.105,    7503.529,
   58963.429,   74233.528,   15270.099,
   76161.034,   85701.025,    9539.990,
Is_True,          77.4174%,
Analysis,STARLINK-3266 - IOAG-North1,
       Rise,         Set, Duration (s),
    1454.185,    5419.478,    3965.294,
    7204.096,   16908.441,    9704.345,
   18715.502,   28379.592,    9664.089,
   30225.466,   45569.928,   15344.462,
   47438.534,   57054.279,    9615.745,
   58939.483,   74252.573,   15313.089,
   76185.419,   85705.976,    9520.557,
Is_True,          84.6384%,
Analysis,STARLINK-3266 - IOAG-North2,
       Rise,         Set, Duration (s),
    1475.321,    5434.914,    3959.593,
    7233.046,   16880.725,    9647.679,
   18708.499,   28369.749,    9661.250,
   30199.795,   45588.202,   15388.407,
   47460.095,   57039.606,    9579.511,
   58944.460,   74252.349,   15307.890,
   76168.997,   85725.936,    9556.939,
Is_True,          84.6080%,
Analysis,STARLINK-3266 - IOAG-South1,
       Rise,         Set, Duration (s),
    1477.602,    5392.736,    3915.134,
    7217.108,   16853.627,    9636.519,
   18700.063,   28337.698,    9637.635,
   30197.158,   45557.225,   15360.067,
   47450.717,   57008.531,    9557.813,
   58924.742,   74225.744,   15301.002,
   76164.174,   85706.664,    9542.490,
Is_True,          84.4336%,
Analysis,STARLINK-3266 - IOAG-South2,
       Rise,         Set, Duration (s),
    1454.214,    5385.924,    3931.710,
    7204.908,   11140.701,    3935.792,
   18728.570,   28339.096,    9610.527,
   30205.253,   45538.619,   15333.365,
   47431.510,   57039.443,    9607.934,
   58949.374,   74217.429,   15268.055,
   76161.588,   85679.315,    9517.727,
Is_True,          77.7837%,
Analysis,STARLINK-1200 - STARLINK-3913,
       Rise,         Set, Duration (s),
    3251.225,   29636.245,   26385.020,
Is_True,          30.5382%,
Analysis,STARLINK-1200 - STARLINK-1716,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2124,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2583,
       Rise,         Set, Duration (s),
    3422.283,    7214.431,    3792.149,
   17757.784,   18679.537,     921.753,
   32085.417,   33015.025,     929.608,
   46420.913,   47342.283,     921.370,
   60748.521,   61677.769,     929.249,
   75084.012,   76005.006,     920.994,
Is_True,           9.7397%,
Analysis,STARLINK-1200 - STARLINK-2150,
       Rise,         Set, Duration (s),
    7157.439,   10939.936,    3782.497,
   21488.966,   25271.691,    3782.725,
   35819.867,   39602.590,    3782.722,
   50151.392,   51067.646,     916.254,
   64482.285,   65399.391,     917.106,
   78813.807,   79730.274,     916.467,
Is_True,          16.3169%,
Analysis,STARLINK-1200 - STARLINK-2333,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2234,
       Rise,         Set, Duration (s),
       0.000,   10102.126,   10102.126,
   10961.138,   21586.743,   10625.605,
   25269.981,   35932.833,   10662.851,
   39606.834,   50296.770,   10689.937,
   51065.536,   64642.079,   13576.543,
   65375.267,   79004.614,   13629.347,
   79713.365,   86400.000,    6686.635,
Is_True,          87.9318%,
Analysis,STARLINK-1200 - STARLINK-2582,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1861,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1028,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1893,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1957,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2541,
       Rise,         Set, Duration (s),
    3324.630,    4273.233,     948.604,
   17690.934,   18575.430,     884.496,
   31972.666,   32948.368,     975.702,
   46338.369,   47251.192,     912.824,
   60621.250,   61622.960,    1001.710,
   74986.422,   75926.338,     939.916,
Is_True,           6.5547%,
Analysis,STARLINK-1200 - STARLINK-3144,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1266,
       Rise,         Set, Duration (s),
    3144.227,   10150.534,    7006.307,
   17482.301,   24476.122,    6993.821,
   31807.414,   33081.081,    1273.667,
   46145.486,   47406.645,    1261.159,
   60470.570,   61744.236,    1273.667,
   69076.011,   76069.770,    6993.760,
   83401.072,   86400.000,    2998.928,
Is_True,          32.1774%,
Analysis,STARLINK-1200 - STARLINK-2563,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2095,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1845,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1628,
       Rise,         Set, Duration (s),
       0.000,     421.506,     421.506,
    7674.954,   14764.886,    7089.932,
   24875.041,   29094.729,    4219.688,
   39216.578,   46298.565,    7081.986,
   53541.996,   60641.784,    7099.788,
   67883.623,   74971.460,    7087.837,
   82209.134,   86400.000,    4190.866,
Is_True,          43.0458%,
Analysis,STARLINK-1200 - STARLINK-2561,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2342,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1877,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2418,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1544,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2385,
       Rise,         Set, Duration (s),
   10539.656,   11203.841,     664.185,
   24868.510,   25537.465,     668.955,
   39200.893,   39866.782,     665.889,
   53529.753,   54200.392,     670.639,
   67862.146,   68529.694,     667.548,
   82191.013,   82863.290,     672.277,
Is_True,           4.6406%,
Analysis,STARLINK-1200 - STARLINK-1690,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1083,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1618,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3179,
       Rise,         Set, Duration (s),
       0.000,     215.267,     215.267,
   10520.778,   14534.888,    4014.111,
   24837.820,   31711.327,    6873.506,
   39167.454,   40293.828,    1126.374,
   53485.528,   54612.028,    1126.499,
   67816.407,   68918.739,    1102.332,
   82135.501,   83235.943,    1100.442,
Is_True,          18.0076%,
Analysis,STARLINK-1200 - STARLINK-3226,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1491,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1581,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3694,
       Rise,         Set, Duration (s),
       0.000,   18229.918,   18229.918,
Is_True,          21.0994%,
Analysis,STARLINK-1200 - STARLINK-1698,
       Rise,         Set, Duration (s),
    3477.087,    7378.566,    3901.479,
   17812.389,   21713.759,    3901.370,
   32139.663,   36040.935,    3901.272,
   46474.967,   47505.878,    1030.912,
   60802.223,   61841.075,    1038.852,
   75137.528,   76168.226,    1030.698,
Is_True,          17.1349%,
Analysis,STARLINK-1200 - STARLINK-1017,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1351,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1200 - STARLINK-3396,
       Rise,         Set, Duration (s),
   10494.699,   11075.957,     581.259,
   24827.348,   25380.861,     553.513,
   39184.131,   39663.228,     479.097,
Is_True,           1.8679%,
Analysis,STARLINK-1200 - STARLINK-1016,
       Rise,         Set, Duration (s),
    7138.344,    7759.576,     621.232,
   21465.936,   22094.463,     628.527,
   35800.707,   36422.934,     622.227,
   50128.296,   50757.805,     629.509,
   64463.063,   65086.256,     623.193,
   78790.649,   79421.111,     630.462,
Is_True,           4.3462%,
Analysis,STARLINK-1200 - STARLINK-1100,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1131,
       Rise,         Set, Duration (s),
   10355.781,   11067.811,     712.030,
   24681.058,   25404.941,     723.883,
   39019.224,   39730.156,     710.932,
   53344.453,   54067.314,     722.862,
   79147.982,   79857.428,     709.446,
Is_True,           4.1425%,
Analysis,STARLINK-1200 - STARLINK-3654,
       Rise,         Set, Duration (s),
   42999.794,   57695.650,   14695.856,
Is_True,          17.0091%,
Analysis,STARLINK-1200 - STARLINK-2243,
       Rise,         Set, Duration (s),
   43154.292,   43302.573,     148.280,
Is_True,           0.1716%,
Analysis,STARLINK-1200 - STARLINK-2661,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1541,
       Rise,         Set, Duration (s),
    3432.307,    7252.808,    3820.501,
   17779.402,   21600.446,    3821.044,
   32091.976,   33066.500,     974.524,
   46439.064,   47384.043,     944.979,
   60751.712,   61731.569,     979.857,
   75098.795,   76049.098,     950.303,
Is_True,          13.3000%,
Analysis,STARLINK-1200 - STARLINK-2605,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2102,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1200 - STARLINK-2381,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1068,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3095,
       Rise,         Set, Duration (s),
   83354.408,   86400.000,    3045.592,
Is_True,           3.5250%,
Analysis,STARLINK-1200 - STARLINK-2040,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1624,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3822,
       Rise,         Set, Duration (s),
   32114.934,   33012.461,     897.527,
   40219.535,   44142.461,    3922.926,
Is_True,           5.5792%,
Analysis,STARLINK-1200 - STARLINK-1207,
       Rise,         Set, Duration (s),
    3036.326,    4217.865,    1181.539,
   17374.537,   18542.892,    1168.355,
   31699.532,   32880.614,    1181.083,
   40305.105,   47205.613,    6900.509,
   54630.074,   61543.341,    6913.267,
   71827.967,   75868.312,    4040.345,
   86166.180,   86400.000,     233.820,
Is_True,          25.0219%,
Analysis,STARLINK-1200 - STARLINK-2060,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3529,
       Rise,         Set, Duration (s),
       0.000,      57.862,      57.862,
   10641.302,   11499.220,     857.918,
   24971.119,   25813.364,     842.245,
   39333.708,   40098.688,     764.980,
   53664.927,   54411.331,     746.404,
   68033.197,   68690.784,     657.587,
   82366.428,   83001.317,     634.890,
Is_True,           5.2800%,
Analysis,STARLINK-1200 - STARLINK-1034,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3686,
       Rise,         Set, Duration (s),
   40412.697,   47102.019,    6689.321,
Is_True,           7.7423%,
Analysis,STARLINK-1200 - STARLINK-1549,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1161,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1296,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2560,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1636,
       Rise,         Set, Duration (s),
   10433.630,   11264.833,     831.202,
   24758.153,   25601.862,     843.709,
   39097.130,   39925.748,     828.618,
   53421.596,   54262.826,     841.231,
   67760.599,   68586.678,     826.079,
   82085.007,   82923.806,     838.799,
Is_True,           5.7982%,
Analysis,STARLINK-1200 - STARLINK-2378,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2114,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2252,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3513,
       Rise,         Set, Duration (s),
   14032.076,   14909.776,     877.700,
   25011.482,   28906.860,    3895.378,
Is_True,           5.5244%,
Analysis,STARLINK-1200 - STARLINK-3116,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-1200 - STARLINK-2178,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-3261,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1763,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2099,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1693,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-2411,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1560,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1071,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - STARLINK-1216,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1200 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    1542.393,    1542.393,
    5672.785,    8798.683,    3125.898,
   10903.675,   20277.516,    9373.841,
   22389.401,   31747.924,    9358.523,
   33864.206,   37485.673,    3621.467,
   39607.515,   43226.760,    3619.245,
   51105.042,   60452.470,    9347.427,
   62593.589,   71923.752,    9330.164,
   74066.491,   77659.673,    3593.182,
   79805.015,   86400.000,    6594.985,
Is_True,          68.8740%,
Analysis,STARLINK-1200 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    3040.152,    3040.152,
    5130.282,    8773.545,    3643.263,
   10872.992,   20253.951,    9380.959,
   22369.127,   31749.201,    9380.075,
   33875.943,   37496.023,    3620.079,
   39613.711,   48950.233,    9336.522,
   51080.422,   60426.313,    9345.891,
   62567.685,   71917.246,    9349.561,
   74067.458,   77667.791,    3600.333,
   79818.288,   86400.000,    6581.712,
Is_True,          77.8687%,
Analysis,STARLINK-1200 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    3041.043,    3041.043,
    5142.169,    8789.938,    3647.770,
   10897.586,   20266.619,    9369.033,
   22370.591,   31729.809,    9359.219,
   33849.871,   48958.364,   15108.493,
   51096.362,   60448.988,    9352.626,
   62581.005,   71905.819,    9324.814,
   74049.333,   77642.930,    3593.597,
   79790.990,   86400.000,    6609.010,
Is_True,          80.3306%,
Analysis,STARLINK-1200 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    3068.619,    3068.619,
    5162.100,    8812.029,    3649.928,
   10907.370,   20288.261,    9380.891,
