
SOAP Analysis Report Output for starlink_80_sats_43.orb,
Generated: Fri Dec 16 10:22:47 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Analysis,STARLINK-3608 - STARLINK-2400,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
    6633.330,   10028.572,    3395.242,
   12150.741,   21075.348,    8924.607,
   23184.953,   32116.730,    8931.777,
   34219.822,   37642.957,    3423.135,
   50784.527,   59784.765,    9000.238,
   61832.419,   70843.882,    9011.463,
   72880.339,   81910.951,    9030.612,
   83931.714,   86400.000,    2468.286,
Is_True,          62.7145%,
Analysis,STARLINK-3608 - IOAG-North1,
       Rise,         Set, Duration (s),
    1108.145,   10000.887,    8892.742,
   12127.366,   21052.043,    8924.677,
   23164.861,   32122.412,    8957.552,
   34222.136,   37655.730,    3433.593,
   45250.344,   48688.876,    3438.533,
   50764.384,   59751.338,    8986.954,
   61807.188,   70835.488,    9028.299,
   72869.337,   81922.652,    9053.315,
   83931.474,   86400.000,    2468.526,
Is_True,          73.1299%,
Analysis,STARLINK-3608 - IOAG-North2,
       Rise,         Set, Duration (s),
    1100.039,   10021.611,    8921.572,
   12148.933,   21060.237,    8911.304,
   23172.336,   32099.170,    8926.834,
   34198.682,   37627.691,    3429.008,
   45243.540,   48699.836,    3456.296,
   50773.329,   59778.966,    9005.637,
   61830.554,   70821.857,    8991.303,
   72858.865,   81895.849,    9036.984,
   83908.263,   86400.000,    2491.737,
Is_True,          73.1142%,
Analysis,STARLINK-3608 - IOAG-South1,
       Rise,         Set, Duration (s),
    1127.879,   10037.791,    8909.912,
   12168.670,   21081.642,    8912.972,
   23199.497,   32122.146,    8922.649,
   45274.722,   48724.472,    3449.751,
   50803.779,   59788.773,    8984.995,
   61852.500,   70848.944,    8996.444,
   72889.669,   81921.884,    9032.215,
   83935.107,   86400.000,    2464.893,
Is_True,          69.0669%,
Analysis,STARLINK-3608 - IOAG-South2,
       Rise,         Set, Duration (s),
    1133.730,   10023.829,    8890.099,
   17664.487,   21077.833,    3413.346,
   23194.255,   32137.615,    8943.359,
   34242.131,   37664.500,    3422.369,
   45279.330,   48715.391,    3436.061,
   50793.831,   59774.230,    8980.399,
   61831.609,   70860.424,    9028.815,
   72901.313,   81933.904,    9032.591,
   83956.277,   86400.000,    2443.723,
Is_True,          66.6560%,
Analysis,STARLINK-2702 - STARLINK-1209,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-2627,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2702 - STARLINK-3139,
       Rise,         Set, Duration (s),
    6580.892,   13890.073,    7309.180,
   15113.657,   28282.054,   13168.397,
   29403.361,   42642.364,   13239.004,
   43642.112,   57034.072,   13391.961,
   57928.948,   71401.597,   13472.649,
   72163.001,   85798.973,   13635.973,
Is_True,          85.8995%,
Analysis,STARLINK-2702 - STARLINK-2053,
       Rise,         Set, Duration (s),
